battery_pack,hybrid_inverter,status,controller_available
"DIY LV Pylon HV batteries","SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0",in_catalog,yes
"DIY LV Pylon HV batteries","SMA Sunny Tripower Smart 5.0-10.0 SE",in_catalog,yes
"DIY LV Pylon HV batteries","SMA Sunny Tripower X",in_catalog,yes
"DIY LV Pylon HV batteries","Sofar 5K...20KTL-3PH",in_catalog,yes
"DIY LV Pylon HV batteries","Sofar HYD (3-20)KTL-3PH",in_catalog,yes
"DIY LV Pylon HV batteries","SolaX X1 Hybrid",in_catalog,yes
"DIY LV Pylon HV batteries","SolaX X1 Hybrid G4",in_catalog,yes
"DIY LV Pylon HV batteries","SolaX X3 Hybrid",in_catalog,yes
"DIY LV Pylon HV batteries","SolaX X3 Hybrid G4",in_catalog,yes
"DIY LV Pylon HV batteries","SolaX X3-Ultra Hybrid",in_catalog,yes
"DIY LV Pylon HV batteries","Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST",in_catalog,yes
"DIY LV Pylon HV batteries","Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU",in_catalog,yes
"DIY LV Pylon HV batteries","Solis S5-EH1P (3-6) K-L (5-6 kW 1P US)",in_catalog,yes
"DIY LV Pylon HV batteries","Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US)",in_catalog,yes
"DIY LV Pylon HV batteries","Solxpow Solxpow X3 12-20kW",in_catalog,yes
"DIY LV Pylon HV batteries","Sungrow SH15T/SH20T/SH25T",in_catalog,yes
"DIY LV Pylon HV batteries","Sungrow SH3.0/3.6/4.0/5.0/6.0RS",in_catalog,yes
"DIY LV Pylon HV batteries","Sungrow SH5.0/6.0/8.0/10RT",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Afore AF17K-THA 230V",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Deye SUN-(29.9-50)K-SG01HP3-EU-BM3",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Deye SUN-(5-20)K-SG01HP3-EU-AM2",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Felicity T-REX-50KHP3G01",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Ferroamp EnergyHub",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","FoxESS H1/AC1",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","FoxESS H3 Pro",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","FoxESS H3 Smart",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","FoxESS H3/AC3",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Fronius Primo Gen24 Plus",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Fronius Symo Gen24 Plus",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Fronius Symo Hybrid 3.0/4.0/5.0-3-S",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Fronius Verto Plus 15-33kW",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe A-ES hybrid inverter (America Split Phase)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe BH AC battery inverter",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe BT AC battery inverter",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe EH hybrid solar",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe EHB high voltage battery",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe EHB hybrid inverter (South Africa only)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe ES hybrid solar",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe ET hybrid solar",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","GoodWe SBP battery inverter",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Hoymiles HYT/HAT-HV",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Huawei SUN2000-(2-6)KTL-L1 (400V)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Huawei SUN2000-(3-20)K-MB0 (400V)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Kostal Plenticore Plus (3.0-10)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Maple Leaf Northern Fox H1-H3-AC1-KH",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SAJ H2 Hybrid (3-12)K-S2",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6-6.0",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Tripower Smart 5.0-10.0 SE",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SMA Sunny Tripower X",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Sofar 5K...20KTL-3PH",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Sofar HYD (3-20)KTL-3PH",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid G4",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid G4",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","SolaX X3-Ultra Hybrid",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Solis S5-EH1P (3-6) K-L (5-6 kW 1P US)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US)",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Solxpow Solxpow X3 12-20kW",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Sungrow SH15T/SH20T/SH25T",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Sungrow SH3.0/3.6/4.0/5.0/6.0RS",in_catalog,yes
"Fiat Fastback EV (2026-) (Stellantis CMP Smart Car)","Sungrow SH5.0/6.0/8.0/10RT",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Afore AF17K-THA 230V",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Deye SUN-(29.9-50)K-SG01HP3-EU-BM3",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Deye SUN-(5-20)K-SG01HP3-EU-AM2",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Felicity T-REX-50KHP3G01",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Ferroamp EnergyHub",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","FoxESS H1/AC1",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Pro",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Smart",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","FoxESS H3/AC3",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Fronius Primo Gen24 Plus",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Fronius Symo Gen24 Plus",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Fronius Symo Hybrid 3.0/4.0/5.0-3-S",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Fronius Verto Plus 15-33kW",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe A-ES hybrid inverter (America Split Phase)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe BH AC battery inverter",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe BT AC battery inverter",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe EH hybrid solar",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe EHB high voltage battery",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe EHB hybrid inverter (South Africa only)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe ES hybrid solar",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe ET hybrid solar",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","GoodWe SBP battery inverter",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Hoymiles HYT/HAT-HV",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(2-6)KTL-L1 (400V)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(3-20)K-MB0 (400V)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Kostal Plenticore Plus (3.0-10)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Maple Leaf Northern Fox H1-H3-AC1-KH",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SAJ H2 Hybrid (3-12)K-S2",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6-6.0",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower Smart 5.0-10.0 SE",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower X",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Sofar 5K...20KTL-3PH",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Sofar HYD (3-20)KTL-3PH",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid G4",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid G4",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","SolaX X3-Ultra Hybrid",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Solis S5-EH1P (3-6) K-L (5-6 kW 1P US)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US)",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Solxpow Solxpow X3 12-20kW",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Sungrow SH15T/SH20T/SH25T",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Sungrow SH3.0/3.6/4.0/5.0/6.0RS",in_catalog,yes
"Fiat Grande Panda (2025-) (Stellantis CMP Smart Car)","Sungrow SH5.0/6.0/8.0/10RT",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Afore AF17K-THA 230V",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Deye SUN-(29.9-50)K-SG01HP3-EU-BM3",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Deye SUN-(5-20)K-SG01HP3-EU-AM2",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Felicity T-REX-50KHP3G01",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Ferroamp EnergyHub",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","FoxESS H1/AC1",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Pro",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Smart",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3/AC3",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Fronius Primo Gen24 Plus",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Fronius Symo Gen24 Plus",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Fronius Symo Hybrid 3.0/4.0/5.0-3-S",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Fronius Verto Plus 15-33kW",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe A-ES hybrid inverter (America Split Phase)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe BH AC battery inverter",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe BT AC battery inverter",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe EH hybrid solar",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe EHB high voltage battery",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe EHB hybrid inverter (South Africa only)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe ES hybrid solar",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe ET hybrid solar",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","GoodWe SBP battery inverter",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Hoymiles HYT/HAT-HV",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(2-6)KTL-L1 (400V)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(3-20)K-MB0 (400V)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Kostal Plenticore Plus (3.0-10)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Maple Leaf Northern Fox H1-H3-AC1-KH",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SAJ H2 Hybrid (3-12)K-S2",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6-6.0",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower Smart 5.0-10.0 SE",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower X",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Sofar 5K...20KTL-3PH",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Sofar HYD (3-20)KTL-3PH",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid G4",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid G4",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","SolaX X3-Ultra Hybrid",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH3P-(5-10.0K)-H-EU",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Solis S5-EH1P (3-6) K-L (5-6 kW 1P US)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Solis S6-EH3P(8-15)K-H 8-15 kW 3P (5-6 kW 1P US)",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Solxpow Solxpow X3 12-20kW",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Sungrow SH15T/SH20T/SH25T",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Sungrow SH3.0/3.6/4.0/5.0/6.0RS",in_catalog,yes
"Fiat Multipla EV (2025-) (Stellantis CMP Smart Car)","Sungrow SH5.0/6.0/8.0/10RT",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Afore AF17K-THA 230V",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Deye SUN-(29.9-50)K-SG01HP3-EU-BM3",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Deye SUN-(5-20)K-SG01HP3-EU-AM2",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Felicity T-REX-50KHP3G01",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Ferroamp EnergyHub",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","FoxESS H1/AC1",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Pro",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3 Smart",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","FoxESS H3/AC3",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Fronius Primo Gen24 Plus",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Fronius Symo Gen24 Plus",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Fronius Symo Hybrid 3.0/4.0/5.0-3-S",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Fronius Verto Plus 15-33kW",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe A-ES hybrid inverter (America Split Phase)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe BH AC battery inverter",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe BT AC battery inverter",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe EH hybrid solar",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe EHB high voltage battery",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe EHB hybrid inverter (South Africa only)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe ES hybrid solar",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe ET hybrid solar",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","GoodWe SBP battery inverter",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Growatt HV Growatt SPH (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Growatt LV Growatt SPH (4.6-10) (TL3-BH) (5-10kW 3P)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Hoymiles HYT/HAT-HV",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(2-6)KTL-L1 (400V)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Huawei SUN2000-(3-20)K-MB0 (400V)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Kostal Plenticore Plus (3.0-10)",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Maple Leaf Northern Fox H1-H3-AC1-KH",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SAJ H2 Hybrid (3-12)K-S2",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Smart Energy 3.6-6.0",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Boy Storage 2.5 / 3.7 / 5.0 / 6.0",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower Smart 5.0-10.0 SE",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SMA Sunny Tripower X",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Sofar 5K...20KTL-3PH",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Sofar HYD (3-20)KTL-3PH",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SolaX X1 Hybrid G4",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SolaX X3 Hybrid G4",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","SolaX X3-Ultra Hybrid",in_catalog,yes
"Fiat pickup EV (2025-) (Stellantis CMP Smart Car)","Solis RHI-3P(5-10)K-HVES-5G / S6-EH1P10K-H-US-APST",in_catalog,yes
